K,n_clusters,silhouette,ARI,NMI
2,2,0.08665813950912526,0.002866190313357685,0.02297789472312606
3,3,0.07779252299290426,0.007308015426363724,0.043431621683331714
4,4,0.06810275223905732,0.0073187165270083305,0.04755944489761299
5,5,0.11313301175112271,0.23022030582293837,0.3571212982028919
6,6,0.10749392392918938,0.23327943156142075,0.3702219354101143
7,7,0.10338810261195103,0.23324962666534602,0.3714123226304967
8,8,0.10725080570831426,0.2535115053150861,0.3890460036558008
9,9,0.09745480112796691,0.2605982708919937,0.4063391306928479
10,10,0.09604603388455835,0.26064589428698626,0.4083722255094727
11,11,0.09100931530427599,0.2606562403167592,0.40965537460599416
12,12,0.09034107031043274,0.2606932929953714,0.4115424077842111
13,13,0.08782240563645483,0.26892492218293634,0.4271918998548072
14,14,0.10221865403776757,0.371773516694334,0.4667809369202911
15,15,0.10209889556743179,0.38679397659027726,0.4775292667607772
16,16,0.10107449594509213,0.38683561385045206,0.47891746508789573
17,17,0.1211994630802618,0.4822730198895006,0.5514888416332515
18,18,0.12000333156353094,0.482280123249719,0.5521255161464425
19,19,0.13110089830172,0.5099396081047342,0.5839546347880928
20,20,0.1270224477871255,0.5108776946505785,0.5844826049691704
21,21,0.12759875281787925,0.5108593173500158,0.58495379939421
22,22,0.12414203818238159,0.5105142081081314,0.5844607822397535
23,23,0.12284175836401288,0.5105294464901324,0.5852479462414765
24,24,0.12138562955147376,0.5111772333275167,0.5898355902278604
25,25,0.12210103435403069,0.517478851058962,0.6015291762649903
