K,ARI,NMI,Silhouette,Inertia
2,0.017649619891063662,0.11464673333330085,0.34214038,189541.5
3,0.1408003065009919,0.256883888457162,0.22371645,161720.90625
4,0.11756135867213559,0.24261207039690608,0.13940096,153741.71875
5,0.16320806663523343,0.31374759340718483,0.13071059,147641.90625
6,0.17867681002298277,0.3165329421505466,0.13215074,142618.28125
7,0.19306792344669835,0.3669903257589138,0.1271357,137770.296875
8,0.23566971867567663,0.4026417142882468,0.107483804,133084.734375
9,0.2574468137896305,0.4163022392282039,0.10835315,130060.1875
10,0.2709325736702349,0.4339346629380685,0.11008797,127046.0625
11,0.27198023242483665,0.4265612006491924,0.117231764,124827.265625
12,0.26408807119625577,0.44742996043121075,0.115031436,122122.5703125
13,0.2903222696460177,0.46768912833889675,0.11226402,120146.3515625
14,0.23205515514640945,0.4328979857100541,0.123660244,117802.4296875
15,0.23972306503924237,0.4490770540599326,0.12825947,115774.234375
16,0.2417997789411997,0.4610395352628831,0.115771875,115212.03125
17,0.2313105511476915,0.45058540848954265,0.11333232,113065.4453125
18,0.23499197218146747,0.4579461058161518,0.11481123,112028.8359375
19,0.20677599999952664,0.4479337875044334,0.12224704,110116.1015625
20,0.2259002507694606,0.4653894928066688,0.1270667,108130.40625
21,0.2059996268952935,0.45995480143637707,0.112080015,106901.3046875
22,0.20482104171658835,0.4552737951999336,0.12237682,106337.3125
23,0.21612886840578704,0.4706714484768924,0.11634359,104997.203125
24,0.21257082293386795,0.4846216464057196,0.117428966,103499.40625
25,0.20958312369756388,0.47534353112679867,0.11983401,103086.375
